,File Header,t1,t2,hash,hashed_filepath,og_filepath,intent,topic,speaker,form,intent2,overall_change,f0_slope
39,6. Sound -1185605477497131584,0.9058,1.5621,-1185605477497131584,data/raw/scaled_stimuli_hashed/-1185605477497131584.wav,data/raw/scaled_stimuli_hashed/1_request_temp.wav,request,temp,1,conventional,request,43.34961173988623,0.03412622653559536
40,7. Sound -1197638221250845171,0.6792,1.1553,-1197638221250845171,data/raw/scaled_stimuli_hashed/-1197638221250845171.wav,data/raw/scaled_stimuli_hashed/4_request_box.wav,request,box,4,conventional,request,-20.226724883874112,-0.36979051549990144
42,9. Sound -1251360172745460722,1.1013,1.4828,-1251360172745460722,data/raw/scaled_stimuli_hashed/-1251360172745460722.wav,data/raw/scaled_stimuli_hashed/9_statement_office.wav,statement,office,9,non-conventional,non-request,-13.016433247667976,-0.23496381148007942
43,10. Sound -1307897832160604785,1.0099,1.8698,-1307897832160604785,data/raw/scaled_stimuli_hashed/-1307897832160604785.wav,data/raw/scaled_stimuli_hashed/1_request_car.wav,request,car,1,non-conventional,request,23.727717587152412,-0.17145118270607976
45,12. Sound -1313411345964202067,1.1604,1.6624,-1313411345964202067,data/raw/scaled_stimuli_hashed/-1313411345964202067.wav,data/raw/scaled_stimuli_hashed/1_request_phone.wav,request,phone,1,non-conventional,request,38.62672894995522,-0.364994569047135
46,13. Sound -1317872310897351653,0.6796,1.4301,-1317872310897351653,data/raw/scaled_stimuli_hashed/-1317872310897351653.wav,data/raw/scaled_stimuli_hashed/20_request_piano.wav,request,piano,20,conventional,request,-35.45650301136081,-0.4454367345336113
47,14. Sound -1410163310817736926,0.7785,1.4137,-1410163310817736926,data/raw/scaled_stimuli_hashed/-1410163310817736926.wav,data/raw/scaled_stimuli_hashed/19_request_car.wav,request,car,19,non-conventional,request,5.1422299377557295,0.011350223248550305
48,15. Sound -1412532007216811806,1.114,1.8383,-1412532007216811806,data/raw/scaled_stimuli_hashed/-1412532007216811806.wav,data/raw/scaled_stimuli_hashed/22_question_box.wav,question,box,22,conventional,non-request,-7.201823609615019,-0.05344197548434139
49,16. Sound -1415999935206872569,0.6671,1.3353,-1415999935206872569,data/raw/scaled_stimuli_hashed/-1415999935206872569.wav,data/raw/scaled_stimuli_hashed/24_question_piano.wav,question,piano,24,conventional,non-request,-6.987302363735537,-0.01539517910804248
50,2. Sound -1444823706809409111,1.2362,1.7745,-1444823706809409111,data/raw/scaled_stimuli_hashed/-1444823706809409111.wav,data/raw/scaled_stimuli_hashed/22_request_back.wav,request,back,22,non-conventional,request,-9.955856471349804,0.026279954593789085
51,3. Sound -1485301751766798079,0.7069,1.195,-1485301751766798079,data/raw/scaled_stimuli_hashed/-1485301751766798079.wav,data/raw/scaled_stimuli_hashed/11_request_box.wav,request,box,11,conventional,request,2.56372359367748,0.7950082320100356
53,5. Sound -1584491489891551004,0.6782,1.0311,-1584491489891551004,data/raw/scaled_stimuli_hashed/-1584491489891551004.wav,data/raw/scaled_stimuli_hashed/18_statement_phone.wav,statement,phone,18,non-conventional,non-request,21.869130586351687,-0.8177931495474603
54,6. Sound -1599334258091176162,0.7496,1.4832,-1599334258091176162,data/raw/scaled_stimuli_hashed/-1599334258091176162.wav,data/raw/scaled_stimuli_hashed/8_question_piano.wav,question,piano,8,conventional,non-request,2.7637208104554674,-0.02923136411523812
55,7. Sound -1637861796725246288,0.6868,1.206,-1637861796725246288,data/raw/scaled_stimuli_hashed/-1637861796725246288.wav,data/raw/scaled_stimuli_hashed/24_statement_phone.wav,statement,phone,24,non-conventional,non-request,-22.047475670629908,-0.08289013867211821
57,9. Sound -1687731374078857434,0.6711,1.432,-1687731374078857434,data/raw/scaled_stimuli_hashed/-1687731374078857434.wav,data/raw/scaled_stimuli_hashed/24_question_box.wav,question,box,24,conventional,non-request,-1.4929428072060489,-0.08078330672181103
58,10. Sound -1704591057451454023,0.9143,1.585,-1704591057451454023,data/raw/scaled_stimuli_hashed/-1704591057451454023.wav,data/raw/scaled_stimuli_hashed/8_statement_laptop.wav,statement,laptop,8,non-conventional,non-request,2.627127036425591,-0.010643829069177322
59,11. Sound -1707690245522865873,1.2101,2.054,-1707690245522865873,data/raw/scaled_stimuli_hashed/-1707690245522865873.wav,data/raw/scaled_stimuli_hashed/4_question_Spanish.wav,question,Spanish,4,conventional,non-request,-14.475500194587454,0.7833707293204253
61,13. Sound -1784620054539309666,0.9202,1.7665,-1784620054539309666,data/raw/scaled_stimuli_hashed/-1784620054539309666.wav,data/raw/scaled_stimuli_hashed/19_question_piano.wav,question,piano,19,conventional,non-request,19.90094752198472,-0.3075878762367564
62,14. Sound -1910761306269133833,0.7011,1.6361,-1910761306269133833,data/raw/scaled_stimuli_hashed/-1910761306269133833.wav,data/raw/scaled_stimuli_hashed/7_question_box.wav,question,box,7,conventional,non-request,-1.648295841547025,-0.0840727914997743
63,15. Sound -1975271495869495495,1.0804,1.7722,-1975271495869495495,data/raw/scaled_stimuli_hashed/-1975271495869495495.wav,data/raw/scaled_stimuli_hashed/19_question_door.wav,question,door,19,conventional,non-request,25.080406310942777,-0.22147310511410706
65,17. Sound -2050806742113042074,1.2282,1.6855,-2050806742113042074,data/raw/scaled_stimuli_hashed/-2050806742113042074.wav,data/raw/scaled_stimuli_hashed/25_question_Spanish.wav,question,Spanish,25,conventional,non-request,9.895353123055912,0.368098139818641
66,18. Sound -2087640069485833967,0.7046,1.5628,-2087640069485833967,data/raw/scaled_stimuli_hashed/-2087640069485833967.wav,data/raw/scaled_stimuli_hashed/25_request_box.wav,request,box,25,conventional,request,-2.3618106668541685,-0.044496465561412075
67,19. Sound -2090986099398405110,1.3342,1.803,-2090986099398405110,data/raw/scaled_stimuli_hashed/-2090986099398405110.wav,data/raw/scaled_stimuli_hashed/7_question_Spanish.wav,question,Spanish,7,conventional,non-request,-4.982683993783979,0.0009581822688645415
68,20. Sound -2217811238336473633,0.895,1.669,-2217811238336473633,data/raw/scaled_stimuli_hashed/-2217811238336473633.wav,data/raw/scaled_stimuli_hashed/11_statement_back.wav,statement,back,11,non-conventional,non-request,51.4008576268171,-0.6513256014714663
69,21. Sound -2231250230644004277,0.7424,1.5437,-2231250230644004277,data/raw/scaled_stimuli_hashed/-2231250230644004277.wav,data/raw/scaled_stimuli_hashed/3_request_box.wav,request,box,3,conventional,request,-35.02937073819976,-1.2228632013165939
71,24. Sound -2351900166823204362,0.8533,1.6867,-2351900166823204362,data/raw/scaled_stimuli_hashed/-2351900166823204362.wav,data/raw/scaled_stimuli_hashed/8_request_Spanish.wav,request,Spanish,8,conventional,request,-4.282128509741028,-0.06519266081847325
72,25. Sound -2433928665520870835,0.9123,1.5349,-2433928665520870835,data/raw/scaled_stimuli_hashed/-2433928665520870835.wav,data/raw/scaled_stimuli_hashed/17_statement_soup.wav,statement,soup,17,non-conventional,non-request,-36.371438616392396,-2.1317753480297283
73,26. Sound -2450646249258766713,1.0329,1.7904,-2450646249258766713,data/raw/scaled_stimuli_hashed/-2450646249258766713.wav,data/raw/scaled_stimuli_hashed/17_request_office.wav,request,office,17,non-conventional,request,74.33352888024875,-1.6205393523427565
74,27. Sound -2456415033846352181,0.5748,0.9979,-2456415033846352181,data/raw/scaled_stimuli_hashed/-2456415033846352181.wav,data/raw/scaled_stimuli_hashed/18_request_phone.wav,request,phone,18,non-conventional,request,15.850196477733974,-1.212976409320885
75,28. Sound -2473103466942205275,1.6843,2.394,-2473103466942205275,data/raw/scaled_stimuli_hashed/-2473103466942205275.wav,data/raw/scaled_stimuli_hashed/11_request_back.wav,request,back,11,non-conventional,request,-69.05947342970322,-0.598636127236928
76,29. Sound -2551620523193015693,1.0728,1.6295,-2551620523193015693,data/raw/scaled_stimuli_hashed/-2551620523193015693.wav,data/raw/scaled_stimuli_hashed/17_statement_office.wav,statement,office,17,non-conventional,non-request,-22.810599191793102,-0.35213190321828114
77,30. Sound -2577373076905172916,0.6122,1.3002,-2577373076905172916,data/raw/scaled_stimuli_hashed/-2577373076905172916.wav,data/raw/scaled_stimuli_hashed/18_question_temp.wav,question,temp,18,conventional,non-request,46.34839820897257,1.598619610595543
78,31. Sound -2629572533374569946,0.7895,1.5604,-2629572533374569946,data/raw/scaled_stimuli_hashed/-2629572533374569946.wav,data/raw/scaled_stimuli_hashed/5_request_door.wav,request,door,5,conventional,request,59.81214749336574,-0.5935193501398601
79,32. Sound -2632961371149753752,0.8487,1.6178,-2632961371149753752,data/raw/scaled_stimuli_hashed/-2632961371149753752.wav,data/raw/scaled_stimuli_hashed/1_question_temp.wav,question,temp,1,conventional,non-request,29.37946055473391,-0.0905818762514877
82,35. Sound -2689093085167907764,0.7466,1.499,-2689093085167907764,data/raw/scaled_stimuli_hashed/-2689093085167907764.wav,data/raw/scaled_stimuli_hashed/21_request_window.wav,request,window,21,conventional,request,-22.550293932573993,-0.3257677704858565
83,36. Sound -2824214900655022187,0.989,1.4058,-2824214900655022187,data/raw/scaled_stimuli_hashed/-2824214900655022187.wav,data/raw/scaled_stimuli_hashed/24_request_back.wav,request,back,24,non-conventional,request,-26.67602274314777,-0.23867733197697746
84,37. Sound -2941517736481097210,0.8857,1.3869,-2941517736481097210,data/raw/scaled_stimuli_hashed/-2941517736481097210.wav,data/raw/scaled_stimuli_hashed/7_statement_car.wav,statement,car,7,non-conventional,non-request,-22.136939220917768,-0.23367189544658032
86,39. Sound -2999642873440820022,1.0483,1.3186,-2999642873440820022,data/raw/scaled_stimuli_hashed/-2999642873440820022.wav,data/raw/scaled_stimuli_hashed/3_statement_office.wav,statement,office,3,non-conventional,non-request,5.52380752339397,-0.35671427826598284
87,40. Sound -3011706705206651937,0.8317,1.4838,-3011706705206651937,data/raw/scaled_stimuli_hashed/-3011706705206651937.wav,data/raw/scaled_stimuli_hashed/9_statement_car.wav,statement,car,9,non-conventional,non-request,-8.663813704860559,-0.32294591427911196
92,45. Sound -3278483628722869808,0.714,1.3951,-3278483628722869808,data/raw/scaled_stimuli_hashed/-3278483628722869808.wav,data/raw/scaled_stimuli_hashed/3_question_door.wav,question,door,3,conventional,non-request,-24.008396622165918,-0.8109674282889694
94,47. Sound -3298932342772518431,0.966,1.7555,-3298932342772518431,data/raw/scaled_stimuli_hashed/-3298932342772518431.wav,data/raw/scaled_stimuli_hashed/22_request_temp.wav,request,temp,22,conventional,request,-13.342552038285717,0.03125159464902044
95,48. Sound -3329302435040143761,1.3379,2.0309,-3329302435040143761,data/raw/scaled_stimuli_hashed/-3329302435040143761.wav,data/raw/scaled_stimuli_hashed/25_statement_car.wav,statement,car,25,non-conventional,non-request,-3.808285008202745,-0.11528388651876102
96,49. Sound -3356170489008889947,0.4669,1.066,-3356170489008889947,data/raw/scaled_stimuli_hashed/-3356170489008889947.wav,data/raw/scaled_stimuli_hashed/4_request_piano.wav,request,piano,4,conventional,request,14.945948366917747,0.40092308012628297
97,50. Sound -3377828704951813032,0.8092,1.5455,-3377828704951813032,data/raw/scaled_stimuli_hashed/-3377828704951813032.wav,data/raw/scaled_stimuli_hashed/25_question_door.wav,question,door,25,conventional,non-request,-12.868221488786048,-0.13422418201680086
98,51. Sound -3395118001429934336,1.0275,2.0064,-3395118001429934336,data/raw/scaled_stimuli_hashed/-3395118001429934336.wav,data/raw/scaled_stimuli_hashed/1_question_box.wav,question,box,1,conventional,non-request,39.633933881812084,-0.17723729189171816
99,52. Sound -3400744729346673889,0.8615,1.5908,-3400744729346673889,data/raw/scaled_stimuli_hashed/-3400744729346673889.wav,data/raw/scaled_stimuli_hashed/11_statement_laptop.wav,statement,laptop,11,non-conventional,non-request,-43.180600174086806,-1.5620455686742099
100,53. Sound -3660143968454734673,0.8247,1.3888,-3660143968454734673,data/raw/scaled_stimuli_hashed/-3660143968454734673.wav,data/raw/scaled_stimuli_hashed/3_statement_phone.wav,statement,phone,3,non-conventional,non-request,-68.59001661374444,-1.562722633973503
101,54. Sound -3704920933763966420,0.5957,1.2345,-3704920933763966420,data/raw/scaled_stimuli_hashed/-3704920933763966420.wav,data/raw/scaled_stimuli_hashed/6_request_door.wav,request,door,6,conventional,request,-43.93040331607372,0.14719834435582424
102,55. Sound -3708018698834238690,0.8961,1.557,-3708018698834238690,data/raw/scaled_stimuli_hashed/-3708018698834238690.wav,data/raw/scaled_stimuli_hashed/5_request_car.wav,request,car,5,non-conventional,request,53.60168924342052,-0.49442947825713324
104,57. Sound -3728811080616080189,2.1766,2.7276,-3728811080616080189,data/raw/scaled_stimuli_hashed/-3728811080616080189.wav,data/raw/scaled_stimuli_hashed/3_request_laptop.wav,request,laptop,3,non-conventional,request,-58.214847580000395,0.11640888817401676
105,58. Sound -3730849920359491221,1.0685,2.0172,-3730849920359491221,data/raw/scaled_stimuli_hashed/-3730849920359491221.wav,data/raw/scaled_stimuli_hashed/1_statement_laptop.wav,statement,laptop,1,non-conventional,non-request,-28.893236818424555,-0.4507794373778655
106,59. Sound -3748200197468524773,0.5707,1.2529,-3748200197468524773,data/raw/scaled_stimuli_hashed/-3748200197468524773.wav,data/raw/scaled_stimuli_hashed/18_request_window.wav,request,window,18,conventional,request,-2.7562929227045885,-0.003696306632364787
107,60. Sound -3755599827054568723,1.5463,2.155,-3755599827054568723,data/raw/scaled_stimuli_hashed/-3755599827054568723.wav,data/raw/scaled_stimuli_hashed/20_request_back.wav,request,back,20,non-conventional,request,-27.180628227780602,-0.33088102832411465
108,61. Sound -3782503776869084325,1.3001,1.992,-3782503776869084325,data/raw/scaled_stimuli_hashed/-3782503776869084325.wav,data/raw/scaled_stimuli_hashed/3_request_car.wav,request,car,3,non-conventional,request,55.6902591953354,-0.43494304942582657
109,62. Sound -3791287080061611554,1.3581,1.9764,-3791287080061611554,data/raw/scaled_stimuli_hashed/-3791287080061611554.wav,data/raw/scaled_stimuli_hashed/5_request_back.wav,request,back,5,non-conventional,request,7.907246815538599,-0.6676201238863061
110,63. Sound -3818885553294764517,0.7024,1.3825,-3818885553294764517,data/raw/scaled_stimuli_hashed/-3818885553294764517.wav,data/raw/scaled_stimuli_hashed/11_request_door.wav,request,door,11,conventional,request,91.97445338661778,-0.12043027226695822
111,64. Sound -3839263773413575099,0.6949,1.4492,-3839263773413575099,data/raw/scaled_stimuli_hashed/-3839263773413575099.wav,data/raw/scaled_stimuli_hashed/8_question_door.wav,question,door,8,conventional,non-request,0.9069249283192846,-0.05309815311374204
112,65. Sound -3864172552666497153,0.58,1.0955,-3864172552666497153,data/raw/scaled_stimuli_hashed/-3864172552666497153.wav,data/raw/scaled_stimuli_hashed/21_question_door.wav,question,door,21,conventional,non-request,-1.9027285489172243,0.41192168281188524
114,67. Sound -3907080820498345039,0.6448,1.2758,-3907080820498345039,data/raw/scaled_stimuli_hashed/-3907080820498345039.wav,data/raw/scaled_stimuli_hashed/4_question_box.wav,question,box,4,conventional,non-request,0.36221830919316744,0.029414243880316635
115,68. Sound -3980574552947198500,0.7622,1.1211,-3980574552947198500,data/raw/scaled_stimuli_hashed/-3980574552947198500.wav,data/raw/scaled_stimuli_hashed/7_request_soup.wav,request,soup,7,non-conventional,request,-0.3291924220847875,-0.2715185285728999
116,69. Sound -4009398709531251903,0.6902,1.2802,-4009398709531251903,data/raw/scaled_stimuli_hashed/-4009398709531251903.wav,data/raw/scaled_stimuli_hashed/19_request_phone.wav,request,phone,19,non-conventional,request,9.664900526706973,-0.20605499917746978
117,70. Sound -4058773649441875425,0.7832,1.4148,-4058773649441875425,data/raw/scaled_stimuli_hashed/-4058773649441875425.wav,data/raw/scaled_stimuli_hashed/19_request_laptop.wav,request,laptop,19,non-conventional,request,3.3608204909945982,0.21829211663258563
119,1. Sound -4089409893312003556,0.5827,1.1828,-4089409893312003556,data/raw/scaled_stimuli_hashed/-4089409893312003556.wav,data/raw/scaled_stimuli_hashed/5_request_box.wav,request,box,5,conventional,request,-11.884129105182751,-1.2690938558033324
120,2. Sound -4106613475802685263,0.9425,1.6882,-4106613475802685263,data/raw/scaled_stimuli_hashed/-4106613475802685263.wav,data/raw/scaled_stimuli_hashed/2_request_door.wav,request,door,2,conventional,request,-34.602780899145074,-0.5275628913659357
121,3. Sound -4159386430977144835,1.104,1.6057,-4159386430977144835,data/raw/scaled_stimuli_hashed/-4159386430977144835.wav,data/raw/scaled_stimuli_hashed/19_statement_office.wav,statement,office,19,non-conventional,non-request,16.538738675187105,-0.4091402013704671
122,4. Sound -4160806666445741229,0.7743,1.2024,-4160806666445741229,data/raw/scaled_stimuli_hashed/-4160806666445741229.wav,data/raw/scaled_stimuli_hashed/4_statement_soup.wav,statement,soup,4,non-conventional,non-request,-23.01367893188649,-0.27182171388543996
123,5. Sound -4169591648832802690,1.3771,1.8542,-4169591648832802690,data/raw/scaled_stimuli_hashed/-4169591648832802690.wav,data/raw/scaled_stimuli_hashed/2_request_back.wav,request,back,2,non-conventional,request,-17.776159944756472,-0.35622254623931693
124,6. Sound -4179921508060431157,0.736,1.5328,-4179921508060431157,data/raw/scaled_stimuli_hashed/-4179921508060431157.wav,data/raw/scaled_stimuli_hashed/21_request_door.wav,request,door,21,conventional,request,-25.726323721890935,-0.3877438384496423
125,7. Sound -4191407759362036108,0.8135,1.4055,-4191407759362036108,data/raw/scaled_stimuli_hashed/-4191407759362036108.wav,data/raw/scaled_stimuli_hashed/24_request_Spanish.wav,request,Spanish,24,conventional,request,-11.180752938296962,-0.039392132406908136
126,8. Sound -4206032097411529914,1.2014,1.8416,-4206032097411529914,data/raw/scaled_stimuli_hashed/-4206032097411529914.wav,data/raw/scaled_stimuli_hashed/22_request_Spanish.wav,request,Spanish,22,conventional,request,39.74683963289989,-0.11980924333216303
127,9. Sound -4244850615598242273,1.1664,1.536,-4244850615598242273,data/raw/scaled_stimuli_hashed/-4244850615598242273.wav,data/raw/scaled_stimuli_hashed/4_request_office.wav,request,office,4,non-conventional,request,-4.194245774972188,-0.18759020803772075
128,10. Sound -4271265295412031560,1.0799,1.7707,-4271265295412031560,data/raw/scaled_stimuli_hashed/-4271265295412031560.wav,data/raw/scaled_stimuli_hashed/17_question_Spanish.wav,question,Spanish,17,conventional,non-request,-48.01591929017516,-0.13395671938899717
129,11. Sound -4349769276584180663,1.1138,1.4548,-4349769276584180663,data/raw/scaled_stimuli_hashed/-4349769276584180663.wav,data/raw/scaled_stimuli_hashed/25_request_office.wav,request,office,25,non-conventional,request,-9.34617947602004,-0.20970412023874116
130,12. Sound -4362211535457664319,1.0057,1.6909,-4362211535457664319,data/raw/scaled_stimuli_hashed/-4362211535457664319.wav,data/raw/scaled_stimuli_hashed/8_question_Spanish.wav,question,Spanish,8,conventional,non-request,3.319636951934214,-0.057853214926074946
131,13. Sound -4429300996355022097,0.5804,1.3255,-4429300996355022097,data/raw/scaled_stimuli_hashed/-4429300996355022097.wav,data/raw/scaled_stimuli_hashed/9_question_piano.wav,question,piano,9,conventional,non-request,-12.594423748380393,0.004415251263743304
