rt,trial_index,subject,form_assignment,button_pressed,condition,topic,speaker,form,response,already_heard_by_speaker,Gender,Native_Speaker,Music_Ability,Age,Mobile
478.07,94,yas2e2mcsw,non_conventional,0,request,office,11,nonconventional,Request,No,Male,Yes,4,19,No
,95,yas2e2mcsw,non_conventional,,request,back,11,nonconventional,,No,Male,Yes,4,19,No
290.71,96,yas2e2mcsw,non_conventional,1,request,back,11,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,97,yas2e2mcsw,non_conventional,,statement,office,11,nonconventional,,No,Male,Yes,4,19,No
850.16,98,yas2e2mcsw,non_conventional,0,statement,office,11,nonconventional,Request,Yes,Male,Yes,4,19,No
,99,yas2e2mcsw,non_conventional,,statement,phone,11,nonconventional,,No,Male,Yes,4,19,No
796.935,100,yas2e2mcsw,non_conventional,0,statement,phone,11,nonconventional,Request,Yes,Male,Yes,4,19,No
,101,yas2e2mcsw,non_conventional,,request,back,22,nonconventional,,No,Male,Yes,4,19,No
283.68,102,yas2e2mcsw,non_conventional,1,request,back,22,nonconventional,Non-Request,No,Male,Yes,4,19,No
,103,yas2e2mcsw,non_conventional,,statement,soup,22,nonconventional,,No,Male,Yes,4,19,No
936.73,104,yas2e2mcsw,non_conventional,1,statement,soup,22,nonconventional,Non-Request,No,Male,Yes,4,19,No
,105,yas2e2mcsw,non_conventional,,request,car,22,nonconventional,,No,Male,Yes,4,19,No
278.69,106,yas2e2mcsw,non_conventional,0,request,car,22,nonconventional,Request,No,Male,Yes,4,19,No
,107,yas2e2mcsw,non_conventional,,statement,car,22,nonconventional,,No,Male,Yes,4,19,No
304.825,108,yas2e2mcsw,non_conventional,1,statement,car,22,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,109,yas2e2mcsw,non_conventional,,statement,laptop,22,nonconventional,,No,Male,Yes,4,19,No
504.12,110,yas2e2mcsw,non_conventional,0,statement,laptop,22,nonconventional,Request,No,Male,Yes,4,19,No
,111,yas2e2mcsw,non_conventional,,statement,back,22,nonconventional,,No,Male,Yes,4,19,No
418.59,112,yas2e2mcsw,non_conventional,0,statement,back,22,nonconventional,Request,Yes,Male,Yes,4,19,No
,113,yas2e2mcsw,non_conventional,,statement,office,22,nonconventional,,No,Male,Yes,4,19,No
358.515,114,yas2e2mcsw,non_conventional,1,statement,office,22,nonconventional,Non-Request,No,Male,Yes,4,19,No
,115,yas2e2mcsw,non_conventional,,request,laptop,22,nonconventional,,No,Male,Yes,4,19,No
328.435,116,yas2e2mcsw,non_conventional,0,request,laptop,22,nonconventional,Request,Yes,Male,Yes,4,19,No
,117,yas2e2mcsw,non_conventional,,statement,phone,22,nonconventional,,No,Male,Yes,4,19,No
